,Lead Origin,Lead Source,Do Not Email,Do Not Call,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,What is your current occupation,What matters most to you in choosing a course,Search,Newspaper Article,X Education Forums,Newspaper,Digital Advertisement,Through Recommendations,Tags,A free copy of Mastering The Interview,Last Notable Activity
18,Landing page submission,Google,No,No,1,6.0,1688,3.0,Page visited on website,India,Marketing management,Unemployed,Better career prospects,No,No,No,No,No,No,No Details,No,Page visited on website
19,Api,Organic search,No,No,0,3.0,98,3.0,Page visited on website,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Interested in other courses,No,Modified
20,Landing page submission,Google,No,No,0,1.0,233,1.0,Unreachable,India,Media and advertising,Unemployed,Better career prospects,No,No,No,No,No,No,Interested in other courses,No,Modified
21,Api,Google,No,No,0,4.0,377,1.33,Page visited on website,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,In confusion whether part time or dlp,No,Modified
22,Landing page submission,Google,No,No,1,1.0,1013,1.0,Converted to lead,India,"Banking, investment and insurance",Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Modified
23,Landing page submission,Google,No,No,0,4.0,771,4.0,Email link clicked,India,Finance management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Email link clicked
24,Api,Google,No,No,1,6.0,1137,1.5,Email opened,India,Marketing management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,Yes,Email opened
25,Landing page submission,Google,No,No,1,3.0,1068,3.0,Form submitted on website,India,Travel and tourism,Unemployed,Better career prospects,No,No,No,No,No,No,Busy,No,Modified
26,Landing page submission,Organic search,No,No,1,4.0,1000,2.0,Email opened,India,Finance management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,Yes,Email opened
27,Landing page submission,Google,No,No,1,6.0,1315,6.0,Email opened,India,Media and advertising,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Email opened
28,Landing page submission,Direct traffic,No,No,0,5.0,182,5.0,Email opened,India,No Details,Student,Better career prospects,No,No,No,No,No,No,Switched off,No,Email opened
29,Api,Google,No,No,1,3.0,78,3.0,Unreachable,India,International business,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Unreachable
30,Landing page submission,Direct traffic,No,No,1,7.0,1174,3.5,Email opened,India,Human resource management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,Yes,Email opened
31,Api,Google,No,No,0,3.0,88,1.5,Email opened,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Interested in other courses,No,Modified
32,Api,Referral sites,No,No,0,4.0,223,2.0,Page visited on website,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Interested in other courses,No,Modified
33,Api,Organic search,No,No,0,3.0,74,1.5,Email opened,India,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
34,Landing page submission,Organic search,No,No,1,4.0,16,2.0,Page visited on website,India,E-commerce,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,Yes,Modified
35,Api,Referral sites,No,No,1,3.0,98,3.0,Email opened,India,Human resource management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Modified
36,Landing page submission,Google,No,No,0,4.0,1622,4.0,Unreachable,India,Operations management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Modified
37,Landing page submission,Google,No,No,1,5.0,563,5.0,Email opened,India,Finance management,Working professional,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Email opened
38,Api,Google,No,No,0,2.0,310,2.0,Email link clicked,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Email link clicked
39,Landing page submission,Google,No,No,1,4.0,25,4.0,Email opened,India,Operations management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Email opened
40,Api,Direct traffic,No,No,0,3.0,342,3.0,Email opened,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Busy,No,Email opened
41,Landing page submission,Organic search,Yes,No,0,7.0,38,7.0,Unsubscribed,India,Retail management,Unemployed,Better career prospects,No,No,No,No,No,No,Busy,Yes,Unsubscribed
42,Api,Google,No,No,0,5.0,199,5.0,Email opened,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Email opened
43,Landing page submission,Google,No,No,0,5.0,222,5.0,Email opened,India,Finance management,No Details,No Details,No,No,No,No,No,No,No Details,No,Email opened
44,Landing page submission,Direct traffic,No,No,0,6.0,275,3.0,Email opened,India,Operations management,Unemployed,Better career prospects,No,No,No,No,No,No,In touch with eins,Yes,Email opened
45,Landing page submission,Google,No,No,0,4.0,287,2.0,Email opened,India,Marketing management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Email opened
46,Landing page submission,Direct traffic,No,No,0,2.0,547,2.0,Email opened,India,Finance management,Unemployed,Better career prospects,No,No,No,No,No,No,Already a student,Yes,Email opened
47,Api,Olark chat,No,No,0,0.0,0,0.0,Olark chat conversation,No Details,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
48,Api,Google,No,No,0,6.0,1225,6.0,Page visited on website,India,Supply chain management,Unemployed,Better career prospects,No,No,No,No,No,No,Diploma holder (not eligible),No,Modified
49,Api,Olark chat,No,No,0,0.0,0,0.0,Olark chat conversation,No Details,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
50,Api,Olark chat,No,No,1,0.0,0,0.0,Email opened,No Details,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Modified
51,Landing page submission,Google,No,No,0,5.0,160,5.0,Email opened,India,Business administration,Unemployed,Better career prospects,No,No,No,No,No,No,Already a student,No,Email opened
52,Landing page submission,Organic search,No,No,0,6.0,394,2.0,Unreachable,India,E-commerce,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,Yes,Modified
53,Api,Google,No,No,0,6.0,286,1.5,Olark chat conversation,India,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
54,Api,Organic search,No,No,0,7.0,96,2.33,Email opened,India,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Email opened
55,Api,Organic search,No,No,0,2.0,12,2.0,Email opened,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Switched off,No,Email opened
56,Landing page submission,Referral sites,No,No,1,13.0,436,13.0,Form submitted on website,India,It projects management,Unemployed,Better career prospects,No,No,No,No,No,No,Busy,No,Modified
57,Api,Referral sites,No,No,1,8.0,903,8.0,Page visited on website,India,Finance management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Page visited on website
58,Landing page submission,Organic search,No,No,0,17.0,409,8.5,Email opened,India,Human resource management,Unemployed,Better career prospects,No,No,No,No,No,No,Interested in other courses,Yes,Modified
59,Landing page submission,Referral sites,No,No,0,11.0,685,5.5,Email opened,India,Services excellence,Unemployed,Better career prospects,No,No,No,No,No,No,Graduation in progress,Yes,Email opened
60,Api,Google,No,No,0,4.0,213,4.0,Form submitted on website,India,International business,Unemployed,Better career prospects,No,No,No,No,No,No,Interested in other courses,No,Modified
61,Api,Olark chat,No,No,0,0.0,0,0.0,Email opened,No Details,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Email opened
62,Api,Organic search,No,No,1,7.0,1468,3.5,Page visited on website,India,Marketing management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Modified
63,Api,Olark chat,No,No,0,0.0,0,0.0,Email link clicked,No Details,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
64,Landing page submission,Direct traffic,No,No,1,4.0,1435,4.0,Email opened,India,Operations management,Working professional,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,Yes,Email opened
65,Landing page submission,Google,No,No,1,1.0,157,1.0,Converted to lead,India,Hospitality management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Modified
66,Api,Google,No,No,1,3.0,885,1.5,Had a phone conversation,India,Operations management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Had a phone conversation
67,Api,Olark chat,No,No,1,0.0,0,0.0,Email opened,No Details,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Modified
68,Api,Olark chat,No,No,0,0.0,0,0.0,View in browser link clicked,No Details,Finance management,Unemployed,Better career prospects,No,No,No,No,No,No,Interested in other courses,No,Modified
69,Api,Olark chat,No,No,0,0.0,0,0.0,Olark chat conversation,No Details,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Modified
70,Landing page submission,Direct traffic,No,No,0,1.0,1710,1.0,Converted to lead,India,Retail management,Unemployed,Better career prospects,No,No,No,No,No,No,Already a student,Yes,Modified
71,Landing page submission,Direct traffic,No,No,0,4.0,219,4.0,Email opened,India,Business administration,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Email opened
72,Landing page submission,Referral sites,Yes,No,0,3.0,111,3.0,Email bounced,India,International business,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,Yes,Modified
73,Api,Organic search,No,No,0,6.0,224,6.0,Page visited on website,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Switched off,No,Modified
74,Landing page submission,Direct traffic,No,No,0,5.0,224,1.67,Page visited on website,India,Operations management,No Details,No Details,No,No,No,No,No,No,No Details,Yes,Page visited on website
75,Landing page submission,Direct traffic,No,No,1,2.0,1071,2.0,Email opened,India,Marketing management,Unemployed,Better career prospects,No,No,No,No,No,No,Lost to eins,Yes,Email opened
76,Landing page submission,Google,No,No,1,6.0,595,3.0,Email opened,India,"Banking, investment and insurance",Working professional,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Email opened
78,Api,Referral sites,No,No,0,4.0,520,4.0,Email opened,India,Operations management,Unemployed,Better career prospects,No,No,No,No,No,No,In touch with eins,No,Email opened
80,Api,Google,No,No,0,2.0,393,2.0,Email opened,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Email opened
82,Api,Olark chat,No,No,1,0.0,0,0.0,Email link clicked,No Details,Operations management,Working professional,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Email link clicked
83,Api,Olark chat,No,No,0,0.0,0,0.0,Olark chat conversation,No Details,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
84,Landing page submission,Google,No,No,1,3.0,1136,3.0,Page visited on website,India,It projects management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Modified
85,Api,Referral sites,No,No,0,3.0,335,3.0,Email opened,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Modified
86,Api,Referral sites,No,No,0,4.0,75,4.0,Email opened,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Email opened
87,Landing page submission,Direct traffic,No,No,0,6.0,97,3.0,Email opened,Outside India,Supply chain management,No Details,No Details,No,No,No,No,No,No,No Details,Yes,Email opened
89,Landing page submission,Organic search,No,No,0,2.0,1085,2.0,Converted to lead,India,Rural and agribusiness,Unemployed,Better career prospects,No,No,No,No,No,No,Interested in other courses,Yes,Modified
90,Api,Organic search,No,No,0,3.0,214,3.0,Page visited on website,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Interested in other courses,No,Modified
91,Api,Olark chat,No,No,1,6.0,1158,1.5,Email opened,India,Business administration,Unemployed,Better career prospects,No,No,No,No,No,No,No Details,Yes,Email opened
92,Landing page submission,Google,No,No,0,4.0,101,4.0,Email opened,India,Finance management,No Details,No Details,No,No,No,No,No,No,No Details,No,Email opened
93,Landing page submission,Google,No,No,0,9.0,838,4.5,Email opened,India,Healthcare management,No Details,No Details,No,No,No,No,No,No,No Details,No,Email opened
94,Landing page submission,Direct traffic,No,No,0,3.0,536,3.0,Unreachable,India,Finance management,Unemployed,Better career prospects,No,No,No,No,No,No,Number not provided,Yes,Modified
95,Landing page submission,Direct traffic,No,No,0,4.0,161,2.0,Unreachable,India,Marketing management,Unemployed,Better career prospects,No,No,No,No,No,No,Busy,No,Unreachable
96,Landing page submission,Google,No,No,0,2.0,511,2.0,Form submitted on website,India,Healthcare management,Unemployed,Better career prospects,No,No,No,No,No,No,Diploma holder (not eligible),No,Modified
97,Api,Olark chat,No,No,0,0.0,0,0.0,Olark chat conversation,No Details,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Opp hangup,No,Modified
98,Api,Google,No,No,1,5.0,1110,5.0,Olark chat conversation,India,Human resource management,Working professional,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Modified
99,Landing page submission,Direct traffic,No,No,1,5.0,1563,5.0,Email opened,India,Finance management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,Yes,Email opened
100,Api,Referral sites,No,No,0,7.0,1633,3.5,Converted to lead,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Modified
101,Api,Olark chat,No,No,1,0.0,0,0.0,Email opened,No Details,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,No Details,No,Modified
102,Landing page submission,Google,No,No,0,12.0,809,4.0,Unreachable,India,Finance management,No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
103,Landing page submission,Direct traffic,No,No,0,2.0,638,2.0,Page visited on website,Outside India,Healthcare management,Unemployed,Better career prospects,No,No,No,No,No,No,Switched off,Yes,Modified
104,Api,Google,No,No,1,5.0,1196,5.0,Page visited on website,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,No Details,No,Modified
105,Landing page submission,Organic search,No,No,0,6.0,1485,6.0,Email opened,India,Supply chain management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,Yes,Email opened
106,Api,Google,No,No,0,9.0,125,3.0,Page visited on website,India,No Details,No Details,No Details,No,No,No,No,No,No,Interested in other courses,No,Modified
107,Api,Google,No,No,1,3.0,165,3.0,Olark chat conversation,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,No Details,No,Modified
108,Landing page submission,Google,No,No,0,6.0,398,3.0,Olark chat conversation,India,E-commerce,No Details,No Details,No,No,No,No,No,No,No Details,Yes,Olark chat conversation
109,Api,Organic search,No,No,0,3.0,570,3.0,Converted to lead,India,No Details,No Details,No Details,No,No,No,No,No,No,Interested in other courses,No,Modified
110,Landing page submission,Organic search,No,No,1,6.0,895,6.0,Email opened,India,Operations management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,Yes,Email opened
111,Landing page submission,Google,No,No,1,4.0,1190,4.0,Email opened,India,Human resource management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Email opened
112,Lead add form,Reference,No,No,1,0.0,0,0.0,Email link clicked,No Details,Business administration,Working professional,Better career prospects,No,No,No,No,No,No,Closed by horizzon,No,Email link clicked
113,Api,Direct traffic,No,No,0,5.0,1566,5.0,Converted to lead,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Graduation in progress,No,Modified
114,Api,Google,No,No,1,5.0,727,5.0,Email opened,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Email opened
115,Landing page submission,Google,No,No,0,8.0,652,4.0,Unreachable,India,Hospitality management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Modified
116,Api,Organic search,No,No,0,4.0,1248,1.33,Email opened,India,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Email opened
117,Api,Google,No,No,0,2.0,767,2.0,Email opened,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Already a student,No,Modified
118,Api,Referral sites,No,No,0,10.0,275,3.33,Page visited on website,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Interested in other courses,No,Page visited on website
119,Api,Organic search,No,No,0,3.0,273,3.0,Converted to lead,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Switched off,No,Modified
121,Landing page submission,Google,No,No,0,8.0,277,4.0,Email opened,India,Finance management,No Details,No Details,No,No,No,No,No,No,No Details,No,Email opened
122,Api,Organic search,No,No,1,3.0,1207,1.5,Olark chat conversation,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,No Details,No,Modified
123,Api,Google,No,No,0,2.0,39,1.0,Converted to lead,India,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
124,Landing page submission,Google,No,No,0,4.0,1638,4.0,Email opened,India,Finance management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,Yes,Email opened
125,Api,Referral sites,No,No,0,16.0,53,16.0,Olark chat conversation,India,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
126,Landing page submission,Direct traffic,No,No,0,1.0,127,1.0,Converted to lead,India,Finance management,Unemployed,Better career prospects,No,No,No,No,No,No,Already a student,Yes,Modified
127,Landing page submission,Organic search,Yes,No,0,5.0,100,5.0,Page visited on website,India,Supply chain management,Unemployed,Better career prospects,No,No,No,No,No,No,Switched off,Yes,Modified
128,Landing page submission,Google,Yes,No,0,4.0,323,4.0,Unsubscribed,India,International business,No Details,No Details,No,No,No,No,No,No,No Details,No,Unsubscribed
129,Api,Google,No,No,1,2.0,160,1.0,Olark chat conversation,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,No Details,No,Modified
130,Lead add form,Reference,No,No,1,0.0,0,0.0,Email opened,No Details,Marketing management,Businessman,Better career prospects,No,No,No,No,No,No,Closed by horizzon,No,Modified
131,Api,Google,No,No,0,1.0,263,1.0,Converted to lead,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Interested in other courses,No,Modified
132,Api,Google,No,No,0,2.0,1218,2.0,Olark chat conversation,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Interested in other courses,No,Modified
135,Landing page submission,Google,No,No,1,5.0,1091,5.0,Unreachable,India,Finance management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Unreachable
136,Landing page submission,Direct traffic,No,No,0,4.0,291,4.0,Olark chat conversation,India,Supply chain management,No Details,No Details,No,No,No,No,No,No,No Details,Yes,Modified
137,Lead add form,Reference,No,No,1,0.0,0,0.0,Email opened,No Details,Hospitality management,Unemployed,Better career prospects,No,No,No,No,No,No,Closed by horizzon,No,Modified
138,Api,Google,Yes,No,0,1.0,1759,1.0,Olark chat conversation,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,No Details,No,Olark chat conversation
139,Landing page submission,Referral sites,No,No,0,7.0,41,3.5,Email opened,India,Services excellence,No Details,No Details,No,No,No,No,No,No,No Details,Yes,Email opened
140,Landing page submission,Google,No,No,0,5.0,386,5.0,Email opened,India,Business administration,Unemployed,Better career prospects,No,No,No,No,No,No,Interested in other courses,No,Modified
141,Api,Referral sites,No,No,0,6.0,216,2.0,Page visited on website,India,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Page visited on website
142,Landing page submission,Google,No,No,1,5.0,1603,5.0,Email opened,India,Operations management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Email opened
143,Landing page submission,Google,No,No,0,7.0,106,3.5,Page visited on website,India,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
144,Api,Google,No,No,0,2.0,73,2.0,Unreachable,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Switched off,No,Modified
145,Api,Google,No,No,0,2.0,77,2.0,Converted to lead,No Details,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,No Details,No,Modified
146,Landing page submission,Direct traffic,No,No,0,3.0,718,3.0,Unreachable,India,Hospitality management,No Details,No Details,No,No,No,No,No,No,No Details,Yes,Modified
147,Landing page submission,Google,No,No,0,5.0,432,1.67,Olark chat conversation,India,Marketing management,No Details,No Details,No,No,No,No,No,No,No Details,No,Olark chat conversation
148,Landing page submission,Google,No,No,0,5.0,232,2.5,Email opened,India,Human resource management,Unemployed,Better career prospects,No,No,No,No,No,No,Interested in other courses,No,Email opened
149,Landing page submission,Direct traffic,No,No,0,2.0,702,2.0,Email opened,India,Hospitality management,Unemployed,Better career prospects,No,No,No,No,No,No,Not doing further education,Yes,Email opened
150,Landing page submission,Organic search,No,No,1,5.0,614,5.0,Unreachable,India,Finance management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,Yes,Unreachable
151,Landing page submission,Direct traffic,No,No,1,1.0,1808,1.0,Converted to lead,India,It projects management,No Details,No Details,No,No,No,No,No,No,Lost to eins,Yes,Modified
152,Landing page submission,Direct traffic,Yes,No,0,2.0,234,1.0,Email bounced,India,Finance management,Unemployed,Better career prospects,No,No,No,No,No,No,Invalid number,Yes,Modified
153,Landing page submission,Direct traffic,No,No,0,3.0,245,3.0,Unreachable,India,Finance management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,Yes,Modified
154,Landing page submission,Organic search,No,No,1,8.0,1268,4.0,Email opened,India,Operations management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,Yes,Email opened
155,Landing page submission,Google,No,No,0,2.0,56,2.0,Email bounced,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Switched off,No,Modified
156,Api,Referral sites,No,No,0,4.0,174,2.0,Email link clicked,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Interested in other courses,No,Modified
157,Landing page submission,Direct traffic,No,No,0,4.0,1149,2.0,Email opened,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Email opened
158,Landing page submission,Direct traffic,No,No,0,2.0,333,2.0,Email opened,India,E-commerce,No Details,No Details,No,No,No,No,No,No,No Details,Yes,Email opened
159,Api,Organic search,No,No,0,7.0,471,2.33,Email opened,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Switched off,No,Email opened
160,Landing page submission,Direct traffic,No,No,1,3.0,1010,3.0,Email opened,India,Supply chain management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,Yes,Email opened
161,Api,Olark chat,No,No,1,10.0,1815,3.33,Had a phone conversation,India,Operations management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,Yes,Had a phone conversation
162,Landing page submission,Direct traffic,No,No,0,2.0,47,2.0,Email link clicked,India,Business administration,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,Yes,Email link clicked
163,Landing page submission,Direct traffic,No,No,1,3.0,1528,1.5,Email opened,India,Operations management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,Yes,Modified
164,Landing page submission,Google,No,No,1,6.0,919,6.0,Email opened,India,Finance management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Email opened
165,Api,Organic search,No,No,0,10.0,194,5.0,Email link clicked,India,Media and advertising,Unemployed,Better career prospects,No,No,No,No,No,No,Interested in other courses,No,Modified
166,Api,Organic search,No,No,0,1.0,1173,1.0,Converted to lead,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Modified
167,Api,Google,No,No,0,2.0,351,2.0,Email opened,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Email opened
168,Landing page submission,Referral sites,No,No,0,12.0,493,12.0,Email link clicked,India,Marketing management,No Details,No Details,No,No,No,No,No,No,No Details,Yes,Email link clicked
169,Landing page submission,Direct traffic,No,No,0,3.0,381,1.5,Page visited on website,India,Operations management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,Yes,Page visited on website
170,Api,Referral sites,No,No,0,2.0,1944,2.0,Email opened,India,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Email opened
171,Landing page submission,Google,No,No,0,5.0,65,5.0,Unreachable,India,Human resource management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Modified
172,Api,Organic search,No,No,0,7.0,1334,7.0,Email opened,India,Business administration,No Details,No Details,No,No,No,No,No,No,Interested in other courses,Yes,Modified
173,Api,Google,No,No,0,7.0,615,7.0,Form submitted on website,India,"Banking, investment and insurance",No Details,No Details,No,No,No,No,No,No,Interested in other courses,No,Modified
174,Lead add form,Reference,No,No,1,0.0,0,0.0,Email opened,No Details,Finance management,Working professional,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Email opened
175,Api,Google,No,No,0,1.0,250,1.0,Email bounced,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Wrong number given,No,Modified
176,Landing page submission,Direct traffic,No,No,0,2.0,383,2.0,Email link clicked,India,Business administration,No Details,No Details,No,No,No,No,No,No,No Details,Yes,Email link clicked
178,Lead add form,Reference,No,No,1,0.0,0,0.0,Email opened,No Details,"Banking, investment and insurance",Working professional,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Email opened
